"sonnet"	"line"	"term1"	"term2"	"term3"	"term4"	"term5"	"term6"	"term7"	"term8"	"term9"	"term10"	"syllabsperline"
"159"	"sonnet12"	5	1	2	1	1	1	2	1	1	NA	NA	10
"160"	"sonnet12"	6	1	1	1	1	1	3	1	1	NA	NA	10
"161"	"sonnet12"	7	1	2	1	1	2	1	1	1	NA	NA	10
"162"	"sonnet12"	8	1	1	1	1	1	1	1	2	1	NA	10
"163"	"sonnet12"	9	1	1	1	2	1	1	2	1	NA	NA	10
"164"	"sonnet12"	10	1	1	2	1	1	1	1	1	1	NA	10
"165"	"sonnet12"	11	1	1	1	2	1	2	2	NA	NA	NA	10
"166"	"sonnet12"	12	1	1	1	1	1	1	1	2	1	NA	10
"167"	"sonnet12"	13	1	2	1	1	1	1	1	2	NA	NA	10
"168"	"sonnet12"	14	1	1	1	1	1	1	1	1	1	1	10
"169"	"sonnet13"	1	1	1	1	1	1	1	1	1	1	1	10
"170"	"sonnet13"	2	1	2	1	1	1	2	1	1	NA	NA	10
"171"	"sonnet13"	3	2	1	2	1	1	1	2	NA	NA	NA	10
"172"	"sonnet13"	4	1	1	1	2	1	1	2	1	NA	NA	10
"173"	"sonnet13"	5	1	1	1	2	1	1	1	1	1	NA	10
"174"	"sonnet13"	6	1	1	5	1	1	1	NA	NA	NA	NA	10
"175"	"sonnet13"	7	1	1	2	2	2	2	NA	NA	NA	NA	10
"176"	"sonnet13"	8	1	1	1	2	1	1	1	1	1	NA	10
"177"	"sonnet13"	9	1	1	1	1	1	1	1	1	2	NA	10
"178"	"sonnet13"	10	1	3	1	2	1	2	NA	NA	NA	NA	10
"179"	"sonnet13"	11	2	1	2	1	1	2	1	NA	NA	NA	10
"180"	"sonnet13"	12	1	2	1	1	1	3	1	NA	NA	NA	10
"181"	"sonnet13"	13	1	1	1	2	1	1	1	1	1	NA	10
"182"	"sonnet13"	14	1	1	1	2	1	1	1	1	1	NA	10
"183"	"sonnet14"	1	1	1	1	1	1	1	1	2	1	NA	10
"184"	"sonnet14"	2	1	1	2	1	1	4	NA	NA	NA	NA	10
"185"	"sonnet14"	3	1	1	1	1	1	1	1	2	1	NA	10
"186"	"sonnet14"	4	1	1	1	1	1	2	3	NA	NA	NA	10
"187"	"sonnet14"	5	1	1	1	2	1	1	2	1	NA	NA	10
"188"	"sonnet14"	6	2	1	1	1	2	1	1	1	NA	NA	10
"189"	"sonnet14"	7	1	1	1	2	1	1	1	1	1	NA	10
"190"	"sonnet14"	8	1	1	2	1	1	1	2	1	NA	NA	10
"191"	"sonnet14"	9	1	1	1	1	1	2	1	2	NA	NA	10
"192"	"sonnet14"	10	1	2	1	1	1	1	1	1	1	NA	10
"193"	"sonnet14"	11	1	1	1	2	1	3	1	NA	NA	NA	10
"194"	"sonnet14"	12	1	1	2	1	1	1	1	2	NA	NA	10
"195"	"sonnet14"	13	1	1	1	1	1	1	4	NA	NA	NA	10
"196"	"sonnet14"	14	1	1	1	1	1	2	1	1	1	NA	10
"197"	"sonnet15"	1	1	1	3	3	1	1	NA	NA	NA	NA	10
"198"	"sonnet15"	2	1	1	3	1	1	2	2	NA	NA	NA	11
"199"	"sonnet15"	3	1	1	1	1	3	1	1	1	NA	NA	10
"200"	"sonnet15"	4	2	1	1	1	2	2	2	NA	NA	NA	11
"201"	"sonnet15"	5	1	1	2	1	1	1	1	2	NA	NA	10
"202"	"sonnet15"	6	1	1	1	2	1	1	2	1	NA	NA	10
"203"	"sonnet15"	7	1	1	1	2	1	1	1	2	NA	NA	10
"204"	"sonnet15"	8	1	1	1	1	1	1	1	3	NA	NA	10
"205"	"sonnet15"	9	1	1	2	1	1	3	1	NA	NA	NA	10
"206"	"sonnet15"	10	1	1	1	1	1	1	2	1	1	NA	10
"207"	"sonnet15"	11	1	2	1	3	1	2	NA	NA	NA	NA	10
"208"	"sonnet15"	12	1	1	1	1	1	1	1	2	1	NA	10
"209"	"sonnet15"	13	1	1	1	1	1	1	1	1	1	1	10
"210"	"sonnet15"	14	1	1	1	1	1	1	2	1	1	NA	10
"211"	"sonnet16"	1	1	2	1	1	1	1	2	1	NA	NA	10
"212"	"sonnet16"	2	1	1	2	1	2	2	1	NA	NA	NA	10
"213"	"sonnet16"	3	1	3	2	1	1	2	NA	NA	NA	NA	10
"214"	"sonnet16"	4	1	1	1	2	1	1	2	1	NA	NA	10
"215"	"sonnet16"	5	1	1	1	1	1	1	1	2	1	NA	10
"216"	"sonnet16"	6	1	2	2	2	1	2	NA	NA	NA	NA	10
"217"	"sonnet16"	7	1	2	1	1	1	1	2	1	NA	NA	10
"218"	"sonnet16"	8	1	2	1	1	2	3	NA	NA	NA	NA	10
"219"	"sonnet16"	9	1	1	1	1	1	1	1	1	2	NA	10
"220"	"sonnet16"	10	1	1	1	2	1	1	2	1	NA	NA	10
"221"	"sonnet16"	11	2	1	2	1	1	2	1	NA	NA	NA	10
"222"	"sonnet16"	12	1	1	1	1	2	1	1	1	1	NA	10
"223"	"sonnet16"	13	1	1	2	2	1	2	1	NA	NA	NA	10
"224"	"sonnet16"	14	1	1	1	1	1	1	1	1	1	1	10
"225"	"sonnet17"	1	1	1	2	1	1	1	1	1	1	NA	10
"226"	"sonnet17"	2	1	1	1	1	1	1	1	1	2	NA	10
"227"	"sonnet17"	3	1	1	2	1	1	1	1	1	1	1	11
"228"	"sonnet17"	4	1	1	1	1	1	1	1	1	1	1	10
"229"	"sonnet17"	5	1	1	1	1	1	2	1	1	1	NA	10
"230"	"sonnet17"	6	1	1	1	2	2	1	1	2	NA	NA	11
"231"	"sonnet17"	7	1	1	1	1	1	1	1	2	1	NA	10
"232"	"sonnet17"	8	1	3	2	1	1	2	2	NA	NA	NA	12
"233"	"sonnet17"	9	1	1	1	2	2	1	1	1	NA	NA	10
"234"	"sonnet17"	10	1	1	1	1	1	1	1	1	1	1	10
"235"	"sonnet17"	11	1	1	1	1	1	1	1	2	1	NA	10
"236"	"sonnet17"	12	1	2	2	1	1	2	1	NA	NA	NA	10
"237"	"sonnet17"	13	1	1	1	1	1	1	2	1	1	NA	10
"238"	"sonnet17"	14	1	1	1	1	1	1	1	1	1	1	10
